,Country,POL,Year,Value
0,Australia,SOX,1990,1585.187
1,Australia,SOX,1991,1569.962
2,Australia,SOX,1992,1652.023
3,Australia,SOX,1993,1742.301
4,Australia,SOX,1994,1764.29
5,Australia,SOX,1995,1673.394
6,Australia,SOX,1996,1761.397
7,Australia,SOX,1997,1817.485
8,Australia,SOX,1998,1742.829
9,Australia,SOX,1999,1831.736
10,Australia,SOX,2000,2342.481
11,Australia,SOX,2001,2584.435
12,Australia,SOX,2002,2774.853
13,Australia,SOX,2003,2774.556
14,Australia,SOX,2004,2512.307
15,Australia,SOX,2005,2520.124
16,Australia,SOX,2006,2482.611
17,Australia,SOX,2007,2444.737
18,Australia,SOX,2008,2512.359
19,Australia,SOX,2009,2597.916
20,Australia,SOX,2010,2378.108
21,Australia,SOX,2011,2507.008
22,Australia,SOX,2012,2518.091
23,Australia,SOX,2013,2414.181
24,Australia,SOX,2014,2499.707
25,Australia,SOX,2015,2384.848
26,Australia,SOX,2016,2465.66
27,Australia,SOX,2017,2287.733
28,Australia,SOX,2018,2083.047
29,Australia,SOX,2019,2152.252
461,Australia,NOX,1990,1620.455
462,Australia,NOX,1991,1595.685
463,Australia,NOX,1992,1641.505
464,Australia,NOX,1993,1684.372
465,Australia,NOX,1994,1686.574
466,Australia,NOX,1995,1693.053
467,Australia,NOX,1996,1744.622
468,Australia,NOX,1997,1797.993
469,Australia,NOX,1998,1835.052
470,Australia,NOX,1999,1866.879
471,Australia,NOX,2000,1875.345
472,Australia,NOX,2001,1959.555
473,Australia,NOX,2002,2039.442
474,Australia,NOX,2003,2121.049
475,Australia,NOX,2004,2174.42
476,Australia,NOX,2005,2194.272
477,Australia,NOX,2006,2204.723
478,Australia,NOX,2007,2213.795
479,Australia,NOX,2008,2266.42
480,Australia,NOX,2009,2250.388
481,Australia,NOX,2010,2340.436
482,Australia,NOX,2011,2291.206
483,Australia,NOX,2012,2438.566
484,Australia,NOX,2013,2506.937
485,Australia,NOX,2014,2526.549
486,Australia,NOX,2015,2543.935
487,Australia,NOX,2016,2609.507
488,Australia,NOX,2017,2686.69
489,Australia,NOX,2018,2770.321
490,Australia,NOX,2019,2729.413
924,Australia,CO,1990,5728.572
925,Australia,CO,1991,5747.153
926,Australia,CO,1992,5896.438
927,Australia,CO,1993,6120.59
928,Australia,CO,1994,6262.886
929,Australia,CO,1995,6107.786
930,Australia,CO,1996,6281.752
931,Australia,CO,1997,6297.416
932,Australia,CO,1998,5941.04
933,Australia,CO,1999,5803.739
934,Australia,CO,2000,5386.853
935,Australia,CO,2001,5122.086
936,Australia,CO,2002,4986.231
937,Australia,CO,2003,4499.31
938,Australia,CO,2004,4593.223
939,Australia,CO,2005,3973.063
940,Australia,CO,2006,3943.662
941,Australia,CO,2007,3381.214
942,Australia,CO,2008,3226.089
943,Australia,CO,2009,3156.706
944,Australia,CO,2010,2993.122
945,Australia,CO,2011,2940.926
946,Australia,CO,2012,2906.313
947,Australia,CO,2013,2842.224
948,Australia,CO,2014,2772.519
949,Australia,CO,2015,2721.182
950,Australia,CO,2016,2657.939
951,Australia,CO,2017,2801.087
952,Australia,CO,2018,2568.472
953,Australia,CO,2019,2398.667
1387,Australia,NMVOC,1990,1514.639
1388,Australia,NMVOC,1991,1506.22
1389,Australia,NMVOC,1992,1510.862
1390,Australia,NMVOC,1993,1528.016
1391,Australia,NMVOC,1994,1539.812
1392,Australia,NMVOC,1995,1522.776
1393,Australia,NMVOC,1996,1492.444
1394,Australia,NMVOC,1997,1490.448
1395,Australia,NMVOC,1998,1479.754
1396,Australia,NMVOC,1999,1447.612
1397,Australia,NMVOC,2000,1415.563
1398,Australia,NMVOC,2001,1405.297
1399,Australia,NMVOC,2002,1420.283
1400,Australia,NMVOC,2003,1248.494
1401,Australia,NMVOC,2004,1256.756
1402,Australia,NMVOC,2005,1234.237
1403,Australia,NMVOC,2006,1241.931
1404,Australia,NMVOC,2007,1202.335
1405,Australia,NMVOC,2008,1198.514
1406,Australia,NMVOC,2009,1210.964
1407,Australia,NMVOC,2010,1195.317
1408,Australia,NMVOC,2011,1206.222
1409,Australia,NMVOC,2012,1214.663
1410,Australia,NMVOC,2013,1227.379
1411,Australia,NMVOC,2014,1254.081
1412,Australia,NMVOC,2015,1282.875
1413,Australia,NMVOC,2016,1257.956
1414,Australia,NMVOC,2017,1302.548
1415,Australia,NMVOC,2018,1262.473
1416,Australia,NMVOC,2019,1175.369
6824,Canada,SOX,1990,3010.727
6825,Canada,SOX,1991,2793.195
6826,Canada,SOX,1992,2670.819
6827,Canada,SOX,1993,2582.736
6828,Canada,SOX,1994,2371.136
6829,Canada,SOX,1995,2504.469
6830,Canada,SOX,1996,2513.487
6831,Canada,SOX,1997,2462.94
6832,Canada,SOX,1998,2429.073
6833,Canada,SOX,1999,2327.888
6834,Canada,SOX,2000,2331.518
6835,Canada,SOX,2001,2309.128
6836,Canada,SOX,2002,2266.424
6837,Canada,SOX,2003,2196.583
6838,Canada,SOX,2004,2207.232
6839,Canada,SOX,2005,2092.993
6840,Canada,SOX,2006,1891.732
6841,Canada,SOX,2007,1845.367
6842,Canada,SOX,2008,1660.104
6843,Canada,SOX,2009,1396.741
6844,Canada,SOX,2010,1288.007
6845,Canada,SOX,2011,1205.635
6846,Canada,SOX,2012,1200.601
6847,Canada,SOX,2013,1193.801
6848,Canada,SOX,2014,1153.102
6849,Canada,SOX,2015,1074.699
6850,Canada,SOX,2016,1052.445
6851,Canada,SOX,2017,958.499
6852,Canada,SOX,2018,814.21
6853,Canada,SOX,2019,714.685
7289,Canada,NOX,1990,2299.407
7290,Canada,NOX,1991,2211.588
7291,Canada,NOX,1992,2250.348
7292,Canada,NOX,1993,2300.251
7293,Canada,NOX,1994,2416.135
7294,Canada,NOX,1995,2475.573
7295,Canada,NOX,1996,2543.158
7296,Canada,NOX,1997,2682.48
7297,Canada,NOX,1998,2720.645
7298,Canada,NOX,1999,2782.88
7299,Canada,NOX,2000,2753.616
7300,Canada,NOX,2001,2618.977
7301,Canada,NOX,2002,2562.667
7302,Canada,NOX,2003,2524.0
7303,Canada,NOX,2004,2386.121
7304,Canada,NOX,2005,2291.259
7305,Canada,NOX,2006,2138.462
7306,Canada,NOX,2007,2145.065
7307,Canada,NOX,2008,2074.08
7308,Canada,NOX,2009,1949.499
7309,Canada,NOX,2010,1962.768
7310,Canada,NOX,2011,1908.425
7311,Canada,NOX,2012,1801.185
7312,Canada,NOX,2013,1755.426
7313,Canada,NOX,2014,1708.849
7314,Canada,NOX,2015,1641.306
7315,Canada,NOX,2016,1583.602
7316,Canada,NOX,2017,1635.052
7317,Canada,NOX,2018,1652.733
7318,Canada,NOX,2019,1643.102
7754,Canada,PM10,1990,6669.249
7755,Canada,PM10,1991,6429.815
7756,Canada,PM10,1992,6378.559
7757,Canada,PM10,1993,6261.898
7758,Canada,PM10,1994,6578.46
7759,Canada,PM10,1995,6374.186
7760,Canada,PM10,1996,6551.051
7761,Canada,PM10,1997,6954.075
7762,Canada,PM10,1998,6293.32
7763,Canada,PM10,1999,6477.585
7764,Canada,PM10,2000,6317.358
7765,Canada,PM10,2001,6480.917
7766,Canada,PM10,2002,6224.143
7767,Canada,PM10,2003,6267.27
7768,Canada,PM10,2004,6180.492
7769,Canada,PM10,2005,6204.239
7770,Canada,PM10,2006,6398.208
7771,Canada,PM10,2007,6859.869
7772,Canada,PM10,2008,7215.716
7773,Canada,PM10,2009,6768.485
7774,Canada,PM10,2010,7227.203
7775,Canada,PM10,2011,7507.945
7776,Canada,PM10,2012,8162.832
7777,Canada,PM10,2013,8290.896
7778,Canada,PM10,2014,8190.14
7779,Canada,PM10,2015,8378.101
7780,Canada,PM10,2016,8419.482
7781,Canada,PM10,2017,8496.125
7782,Canada,PM10,2018,8561.365
7783,Canada,PM10,2019,8586.728
8219,Canada,PM2-5,1990,1682.019
8220,Canada,PM2-5,1991,1630.67
8221,Canada,PM2-5,1992,1595.657
8222,Canada,PM2-5,1993,1574.071
8223,Canada,PM2-5,1994,1611.059
8224,Canada,PM2-5,1995,1554.528
8225,Canada,PM2-5,1996,1563.682
8226,Canada,PM2-5,1997,1600.259
8227,Canada,PM2-5,1998,1417.403
8228,Canada,PM2-5,1999,1428.37
8229,Canada,PM2-5,2000,1386.606
8230,Canada,PM2-5,2001,1356.754
8231,Canada,PM2-5,2002,1280.748
8232,Canada,PM2-5,2003,1281.644
8233,Canada,PM2-5,2004,1247.919
8234,Canada,PM2-5,2005,1244.391
8235,Canada,PM2-5,2006,1251.572
8236,Canada,PM2-5,2007,1331.003
8237,Canada,PM2-5,2008,1394.297
8238,Canada,PM2-5,2009,1278.532
8239,Canada,PM2-5,2010,1347.808
8240,Canada,PM2-5,2011,1386.86
8241,Canada,PM2-5,2012,1491.81
8242,Canada,PM2-5,2013,1506.118
8243,Canada,PM2-5,2014,1501.461
8244,Canada,PM2-5,2015,1509.742
8245,Canada,PM2-5,2016,1501.788
8246,Canada,PM2-5,2017,1503.195
8247,Canada,PM2-5,2018,1510.902
8248,Canada,PM2-5,2019,1508.466
8684,Canada,CO,1990,11589.89
8685,Canada,CO,1991,11385.2
8686,Canada,CO,1992,11325.1
8687,Canada,CO,1993,11596.59
8688,Canada,CO,1994,11566.73
8689,Canada,CO,1995,11431.69
8690,Canada,CO,1996,11083.51
8691,Canada,CO,1997,10765.98
8692,Canada,CO,1998,10490.53
8693,Canada,CO,1999,10296.69
8694,Canada,CO,2000,10078.01
8695,Canada,CO,2001,9253.218
8696,Canada,CO,2002,8929.189
8697,Canada,CO,2003,8779.953
8698,Canada,CO,2004,8287.74
8699,Canada,CO,2005,7419.118
8700,Canada,CO,2006,6924.634
8701,Canada,CO,2007,6852.563
8702,Canada,CO,2008,6638.479
8703,Canada,CO,2009,6308.341
8704,Canada,CO,2010,6083.144
8705,Canada,CO,2011,5687.282
8706,Canada,CO,2012,5419.132
8707,Canada,CO,2013,5375.684
8708,Canada,CO,2014,5285.976
8709,Canada,CO,2015,5187.515
8710,Canada,CO,2016,5095.864
8711,Canada,CO,2017,5154.677
8712,Canada,CO,2018,5141.86
8713,Canada,CO,2019,5092.643
9149,Canada,NMVOC,1990,2871.115
9150,Canada,NMVOC,1991,2812.988
9151,Canada,NMVOC,1992,2834.188
9152,Canada,NMVOC,1993,2919.891
9153,Canada,NMVOC,1994,2947.092
9154,Canada,NMVOC,1995,2943.76
9155,Canada,NMVOC,1996,2936.54
9156,Canada,NMVOC,1997,2869.365
9157,Canada,NMVOC,1998,2812.78
9158,Canada,NMVOC,1999,2744.544
9159,Canada,NMVOC,2000,2677.379
9160,Canada,NMVOC,2001,2445.749
9161,Canada,NMVOC,2002,2414.256
9162,Canada,NMVOC,2003,2355.343
9163,Canada,NMVOC,2004,2315.073
9164,Canada,NMVOC,2005,2269.972
9165,Canada,NMVOC,2006,2151.85
9166,Canada,NMVOC,2007,2127.26
9167,Canada,NMVOC,2008,2080.704
9168,Canada,NMVOC,2009,1923.616
9169,Canada,NMVOC,2010,1881.422
9170,Canada,NMVOC,2011,1745.62
9171,Canada,NMVOC,2012,1753.74
9172,Canada,NMVOC,2013,1786.942
9173,Canada,NMVOC,2014,1805.468
9174,Canada,NMVOC,2015,1721.318
9175,Canada,NMVOC,2016,1612.902
9176,Canada,NMVOC,2017,1628.904
9177,Canada,NMVOC,2018,1673.825
9178,Canada,NMVOC,2019,1643.238
17978,France,SOX,1990,1287.149
17979,France,SOX,1991,1378.854
17980,France,SOX,1992,1227.349
17981,France,SOX,1993,1068.295
17982,France,SOX,1994,995.166
17983,France,SOX,1995,938.174
17984,France,SOX,1996,923.42
17985,France,SOX,1997,781.508
17986,France,SOX,1998,813.873
17987,France,SOX,1999,716.264
17988,France,SOX,2000,616.835
17989,France,SOX,2001,560.783
17990,France,SOX,2002,516.999
17991,France,SOX,2003,498.233
17992,France,SOX,2004,476.533
17993,France,SOX,2005,457.958
17994,France,SOX,2006,425.086
17995,France,SOX,2007,404.011
17996,France,SOX,2008,346.813
17997,France,SOX,2009,292.834
17998,France,SOX,2010,269.687
17999,France,SOX,2011,222.418
18000,France,SOX,2012,219.911
18001,France,SOX,2013,202.394
18002,France,SOX,2014,159.167
18003,France,SOX,2015,152.33
18004,France,SOX,2016,136.678
18005,France,SOX,2017,131.537
18006,France,SOX,2018,122.926
18007,France,SOX,2019,100.255
18443,France,NOX,1990,2094.118
18444,France,NOX,1991,2149.484
18445,France,NOX,1992,2115.187
18446,France,NOX,1993,2017.943
18447,France,NOX,1994,1950.969
18448,France,NOX,1995,1907.601
18449,France,NOX,1996,1868.04
18450,France,NOX,1997,1801.23
18451,France,NOX,1998,1836.808
18452,France,NOX,1999,1798.95
18453,France,NOX,2000,1739.061
18454,France,NOX,2001,1698.572
18455,France,NOX,2002,1657.463
18456,France,NOX,2003,1601.762
18457,France,NOX,2004,1557.53
18458,France,NOX,2005,1505.936
18459,France,NOX,2006,1415.845
18460,France,NOX,2007,1350.598
18461,France,NOX,2008,1267.316
18462,France,NOX,2009,1189.544
18463,France,NOX,2010,1155.201
18464,France,NOX,2011,1099.688
18465,France,NOX,2012,1076.978
18466,France,NOX,2013,1055.01
18467,France,NOX,2014,981.102
18468,France,NOX,2015,960.832
18469,France,NOX,2016,910.539
18470,France,NOX,2017,878.712
18471,France,NOX,2018,821.626
18472,France,NOX,2019,784.375
18908,France,PM10,1990,539.849
18909,France,PM10,1991,585.256
18910,France,PM10,1992,563.29
18911,France,PM10,1993,540.256
18912,France,PM10,1994,504.782
18913,France,PM10,1995,506.491
18914,France,PM10,1996,520.578
18915,France,PM10,1997,482.539
18916,France,PM10,1998,473.083
18917,France,PM10,1999,451.494
18918,France,PM10,2000,420.467
18919,France,PM10,2001,406.371
18920,France,PM10,2002,382.799
18921,France,PM10,2003,382.574
18922,France,PM10,2004,367.726
18923,France,PM10,2005,340.585
18924,France,PM10,2006,312.3
